"'Account No.","'Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'47100","'Federal Through State","'","'","'",
"'47230","'Disaster Relief","'33,594.00","'0.00","'0.00",
"'47235","'Homeland Security Grants","'0","'0","'0",
"'","'Total Federal Through State","'33,594","'0","'0",
"'","'Total Federal Government","'33,594","'0","'0",
"'48000","'OTHER GOVERNMENTS AND CITIZENS GROUPS","'","'","'",
"'48100","'Other Governments","'","'","'",
"'48140","'Contracted Services","'214,477","'245,000","'215,000",
"'","'Total Other Governments","'214,477","'245,000","'215,000",
"'49000","'Non-Revenue","'","'","'",
"'49100","'Bonds Issured","'0","'0","'0",
"'49700","'Insurance Recovery","'15,840","'0","'0",
"'49800","'Transfer In","'0","'0","'0",
"'","'Total Estimated Revenues","'1,804,791","'1,629,300","'1,773,300",
"'","'ESTIMATED EXPENDITURES","'","'","'",
"'55000","'PUBLIC HEALTH AND WELFARE","'","'","'",
"'55710","'Sanitation Management","'","'","'",
"'105","'Supervisor/Director","'61,687","'63,007","'66,157",
"'106","'Deputy(ies)","'36,109","'37,933","'39,829",
"'121","'Data Processing Personnel","'19,903","'28,392","'29,528",
"'140","'Salary Supplements","'750","'1,125","'1,500",
"'143","'Equipment Operators","'75,855","'79,608","'82,578",
"'144","'Equipment Operators-Heavy","'40,647","'41,868","'80,000",
"'149","'Laborers","'95,030","'126,000","'96,264",
"'162","'Clerical Personnel","'33,007","'34,360","'36,078",
"'169","'Part-Time Personnel","'107,852","'124,817","'131,058",
"'186","'Longevity Pay","'11,300","'11,700","'12,100",
"'187","'Overtime Pay","'16,730","'20,000","'21,000",
"'201","'Social Security","'36,697","'44,000","'46,000",
"'204","'State Retirement","'41,007","'57,000","'58,000",
"'207","'Medical Insurance","'94,131","'130,000","'130,000",
"'302","'Advertising","'0","'2,500","'2,000",
"'307","'Communication","'3,910","'8,000","'5,900",
"'309","'Contracts with Government Agencies","'6,239","'10,000","'0",
"'317","'Data Processing Services","'3,495","'7,200","'7,918",
"'318","'Debt Collection Services","'13,280","'9,000","'14,000",
"'331","'Legal Services","'0","'1,000","'1,000",
"'332","'Legal Notices, Recording, and Court Cost","'902","'1,500","'1,500",
"'335","'Maintenance and Repair Services - Buildings","'14,652","'15,000","'30,000",
"'336","'Maintenance & Repair Services - Equipment","'92,822","'60,000","'75,000",
"'338","'Maintenance & Repair Services - Vehicles","'12,177","'25,000","'25,000",
