"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'336 Maint and Repair Services - Equipment","'1,013","'2,000","'2,000",
"'338 Maint and Repair Services - Vehicles","'82,967","'65,000","'80,000",
"'348 Postal Charges","'300","'300","'600",
"'355 Travel","'4,263","'10,000","'24,000",
"'355-SRO Travel (SRO)","'3,678","'5,000","'0",
"'399 Other Contracted Service","'0","'0","'0",
"'412 Diesel Fuel","'87","'2,000","'2,000",
"'425 Gasoline","'135,763","'150,000","'165,000",
"'431 Law Enforcement Supplies","'86,931","'45,000","'43,900",
"'431-ELC Law Enforcement Supplies-ELC Confinement Facility Grant","'0","'0","'0",
"'431-SRO Law Enforcement Supplies-SRO","'3,936","'5,000","'0",
"'431-SROG Law Enforcement Supplies-School Resource Officer Grant","'0","'0","'8,897",
"'431-THSO Law Enforcement Supplies- TN Hwy Safety","'0","'0","'20,000",
"'431-TLETA Law Enforcement Supplies-TLETA Grant","'0","'0","'20,000",
"'431-TRMT Law Enforcement Supplies-Tennessee Risk Management","'0","'0","'0",
"'431-TSEE Law Enforcement Supplies-TN Safety Environment","'2,000","'10,000","'0",
"'431-VCIF Law Enforcement Supplies-Violent Crimes Grant","'0","'81,806","'0",
"'435 Office Supplies","'5,787","'8,000","'8,000",
"'450 Tires and Tubes","'9,736","'20,000","'20,000",
"'451 Uniforms","'23,178","'15,000","'15,000",
"'451-TLETA Uniforms-TLETA Grant","'0","'0","'20,000",
"'513-SROG Workmans' Compensation Insurance","'0","'0","'0",
"'524 In-Service/Staff Development","'6,477","'25,000","'21,000",
"'524-SRO In-Service/Staff Development-SRO","'5,006","'5,000","'0",
"'524-SROG In-Service/Staff Development-SRO Grant","'0","'0","'5,000",
"'599 Other Charges","'4,276","'5,000","'11,100",
"'599-STOR Other Charges-STORAGE","'0","'0","'10,000",
"'718 Motor Vehicles","'33,375","'0","'0",
"'718-ELC Motor Vehicles -ELC","'0","'120,000","'0",
"'718-VCIF Motor Vehicles-VCIF Grant","'0","'0","'0",
"'719 Office Equipment","'4,937","'5,000","'5,000",
