"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'Total Sheriffs Department","'2,402,211","'2,903,020","'3,453,464",
"'54160 Administration Of Sexual Offender Registry","'","'","'",
"'435 Office Supplies","'686","'1,000","'1,000",
"'599 Other Charges","'1,700","'3,000","'3,000",
"'719 Office Equipment","'2,794","'3,500","'3,500",
"'Total Administration Of Sexual Offender Registry","'5,180","'7,500","'7,500",
"'54210 Jail","'","'","'",
"'160 Guards","'628,363","'824,000","'842,883",
"'161 Secretary","'0","'31,200","'30,826",
"'186 Longevity Pay","'6,200","'4,500","'3,800",
"'187 Overtime Pay","'46,005","'20,000","'83,000",
"'188 Bonus Payment","'16,000","'23,000","'23,000",
"'189 Other Salaries and Wages","'15,376","'35,939","'0",
"'340 Medical and Dental Services","'267,614","'250,000","'300,000",
"'355 Travel","'0","'5,000","'5,000",
"'399 Other Contracted Service","'123,629","'135,000","'145,000",
,,,

'Confidence Scores % (Table Cell)
""'94.09179688","'94.09179688","'95.94726563","'95.21484375",
"'92.13867188","'92.13867188","'93.94531250","'93.21289063",
"'91.21093750","'91.21093750","'93.01757813","'92.28515625",
"'90.86914063","'90.86914063","'92.67578125","'91.94335938",
"'91.40625000","'91.40625000","'93.16406250","'92.48046875",
"'91.65039063","'91.65039063","'93.40820313","'92.72460938",
"'89.11132813","'89.11132813","'90.86914063","'90.18554688",
"'91.30859375","'91.30859375","'93.06640625","'92.38281250",
"'90.82031250","'90.82031250","'92.57812500","'91.84570313",
"'91.25976563","'91.25976563","'93.01757813","'92.33398438",
"'91.79687500","'91.79687500","'93.55468750","'92.87109375",
"'90.18554688","'90.18554688","'91.94335938","'91.25976563",
"'91.21093750","'91.21093750","'93.01757813","'92.28515625",
"'91.40625000","'91.40625000","'93.16406250","'92.48046875",
"'91.40625000","'91.40625000","'93.16406250","'92.48046875",
"'91.65039063","'91.65039063","'93.40820313","'92.72460938",
"'90.47851563","'90.47851563","'92.23632813","'91.55273438",
"'90.82031250","'90.82031250","'92.57812500","'91.84570313",
"'91.16210938","'91.16210938","'92.96875000","'92.23632813",
"'90.77148438","'90.77148438","'92.52929688","'91.84570313",
"'89.84375000","'89.84375000","'91.60156250","'90.91796875",
"'90.62500000","'90.62500000","'92.38281250","'91.69921875",
"'90.33203125","'90.33203125","'92.08984375","'91.40625000",
"'89.99023438","'89.99023438","'91.74804688","'91.06445313",
"'90.82031250","'90.82031250","'92.57812500","'91.84570313",
"'90.57617188","'90.57617188","'92.33398438","'91.65039063",
"'88.33007813","'88.33007813","'90.03906250","'89.35546875",
"'89.64843750","'89.64843750","'91.35742188","'90.67382813",
"'89.99023438","'89.99023438","'91.74804688","'91.06445313",
"'90.57617188","'90.57617188","'92.33398438","'91.65039063",
"'89.84375000","'89.84375000","'91.60156250","'90.91796875",
"'87.40234375","'87.40234375","'89.11132813","'88.42773438",
"'93.75000000","'93.75000000","'95.55664063","'94.82421875",
"'64.69726563","'64.69726563","'64.69726563","'64.69726563",
"'79.54101563","'79.54101563","'81.10351563","'80.46875000",
"'87.74414063","'87.74414063","'89.45312500","'88.76953125",
"'89.79492188","'89.79492188","'91.50390625","'90.82031250",
"'93.89648438","'93.89648438","'95.75195313","'95.01953125",
"'69.43359375","'69.43359375","'69.43359375","'69.43359375",
"'76.95312500","'76.95312500","'78.41796875","'77.83203125",
"'90.33203125","'90.33203125","'92.08984375","'91.40625000",
"'91.45507813","'91.45507813","'93.21289063","'92.52929688",
"'89.11132813","'89.11132813","'90.86914063","'90.18554688",
"'90.28320313","'90.28320313","'92.04101563","'91.35742188",
"'92.28515625","'92.28515625","'94.09179688","'93.35937500",
"'90.42968750","'90.42968750","'92.18750000","'91.50390625",
"'90.38085938","'90.38085938","'92.13867188","'91.45507813",
"'93.16406250","'93.16406250","'94.97070313","'94.28710938",
